Nombre;Particion;Capacidad;Consumido;Libre;PorcentajeLibre
app32;/var/log/audit;3.062;89;2.973;97
app32;/var/log;5.110;2.184;2.926;57
app32;/home/jboss;40.942;5.355;35.587;86
app32;/var;6.134;2.589;3.545;57
app32;/home;4.086;977;3.109;76
app32;/boot;1.014;345;669;66
app32;/opt;4.086;1.701;2.385;58
app32;/tmp;3.062;54;3.008;98
app32;/;8.182;4.932;3.250;39
app33;/home;4.086;336;3.750;91
app33;/;8.182;4.707;3.475;42
app33;/var/log/audit;3.062;92;2.970;97
app33;/var;13.302;1.696;11.606;87
app33;/boot;1.014;348;666;65
app33;/opt;4.086;447;3.639;89
app33;/tmp;3.062;54;3.008;98
app33;/var/log;5.110;1.427;3.683;72
app33;/home/jboss;61.422;53.858;7.564;12
app34;/tmp;3.062;54;3.008;98
app34;/home/jboss;40.942;1.263;39.679;96
app34;/var/log/audit;3.062;87;2.975;97
app34;/;8.182;4.774;3.408;41
app34;/home;4.086;407;3.679;90
app34;/opt;4.086;447;3.639;89
app34;/var/log;5.110;864;4.246;83
app34;/boot;1.014;246;768;75
app34;/var;15.350;1.954;13.396;87
app35;/;8.182;4.862;3.320;40
app35;/tmp;3.062;54;3.008;98
app35;/opt;4.086;447;3.639;89
app35;/var;15.350;1.982;13.368;87
app35;/home;4.086;169;3.917;95
app35;/boot;1.014;247;767;75
app35;/home/jboss;40.942;792;40.150;98
app35;/var/log;5.110;987;4.123;80
app35;/var/log/audit;3.062;92;2.970;97
cel01;/var/log/audit;3.062;95;2.967;96
cel01;/var;24.562;4.241;20.321;82
cel01;/home;4.086;650;3.436;84
cel01;/boot;1.014;348;666;65
cel01;/;8.182;5.649;2.533;30
cel01;/opt;4.086;2.266;1.820;44
cel01;/var/log;5.110;4.349;761;14
cel01;/home/jboss;40.942;19.255;21.687;52
cel01;/tmp;3.062;54;3.008;98
cel02;/tmp;3.062;54;3.008;98
cel02;/opt;4.086;2.256;1.830;44
cel02;/;8.182;4.846;3.336;40
cel02;/boot;1.014;345;669;66
cel02;/var;24.562;1.860;22.702;92
cel02;/var/log;5.110;2.492;2.618;51
cel02;/var/log/audit;3.062;94;2.968;96
cel02;/home;4.086;63;4.023;98
cel02;/home/jboss;40.942;31.380;9.562;23
cel03;/home/jboss;40.942;34.516;6.426;15
cel03;/boot;1.014;348;666;65
cel03;/var/log;10.230;1.601;8.629;84
cel03;/tmp;3.062;54;3.008;98
cel03;/;8.182;4.847;3.335;40
cel03;/var;24.562;975;23.587;96
cel03;/opt;4.086;2.252;1.834;44
cel03;/home;4.086;62;4.024;98
cel03;/var/log/audit;3.062;87;2.975;97
cel04;/;8.182;4.845;3.337;40
cel04;/var/log/audit;3.062;89;2.973;97
cel04;/var/log;10.230;3.402;6.828;66
cel04;/var;29.682;1.918;27.764;93
cel04;/home/jboss;40.942;3.110;37.832;92
cel04;/tmp;3.062;54;3.008;98
cel04;/boot;1.014;348;666;65
cel04;/opt;4.086;447;3.639;89
cel04;/home;4.086;121;3.965;97
cel05;/;8.182;4.820;3.362;41
cel05;/home;4.086;62;4.024;98
cel05;/var;29.682;4.269;25.413;85
cel05;/home/jboss;40.942;3.233;37.709;92
cel05;/var/log;5.110;3.531;1.579;30
cel05;/var/log/audit;3.062;93;2.969;96
cel05;/boot;1.014;348;666;65
cel05;/opt;4.086;447;3.639;89
cel05;/tmp;3.062;54;3.008;98
cel06;/home;4.086;64;4.022;98
cel06;/var/log/audit;3.062;92;2.970;97
cel06;/home/jboss;40.942;3.649;37.293;91
cel06;/var/log;5.110;3.044;2.066;40
cel06;/boot;1.014;348;666;65
cel06;/opt;4.086;2.250;1.836;44
cel06;/;8.182;4.844;3.338;40
cel06;/tmp;3.062;54;3.008;98
cel06;/var;24.562;4.179;20.383;82
cel07;/opt;4.086;1.882;2.204;53
cel07;/var/log/audit;3.062;89;2.973;97
cel07;/tmp;3.062;54;3.008;98
cel07;/home;4.086;62;4.024;98
cel07;/home/jboss;40.942;3.566;37.376;91
cel07;/boot;1.014;348;666;65
cel07;/;8.182;4.844;3.338;40
cel07;/var/log;10.230;2.097;8.133;79
cel07;/var;24.562;1.856;22.706;92
cel08;/home/jboss;40.942;3.166;37.776;92
cel08;/;8.182;4.844;3.338;40
cel08;/opt;4.086;447;3.639;89
cel08;/home;4.086;62;4.024;98
cel08;/tmp;3.062;54;3.008;98
cel08;/boot;1.014;345;669;66
cel08;/var;24.562;4.246;20.316;82
cel08;/var/log;10.230;3.819;6.411;62
cel08;/var/log/audit;3.062;92;2.970;97
cel09;/opt;4.086;447;3.639;89
cel09;/home;4.086;175;3.911;95
cel09;/boot;1.014;348;666;65
cel09;/var;29.682;4.188;25.494;85
cel09;/home/jboss;40.942;3.669;37.273;91
cel09;/;8.182;4.820;3.362;41
cel09;/tmp;3.062;54;3.008;98
cel09;/var/log;5.110;3.751;1.359;26
cel09;/var/log/audit;3.062;88;2.974;97
cel10;/var/log/audit;3.062;90;2.972;97
cel10;/home/jboss;40.942;3.316;37.626;91
cel10;/boot;1.014;247;767;75
cel10;/tmp;3.062;54;3.008;98
cel10;/var;15.350;950;14.400;93
cel10;/opt;4.086;447;3.639;89
cel10;/home;4.086;221;3.865;94
cel10;/;8.182;5.056;3.126;38
cel10;/var/log;5.110;3.007;2.103;41
cel11;/opt;4.086;447;3.639;89
cel11;/;8.182;5.056;3.126;38
cel11;/home;4.086;231;3.855;94
cel11;/home/jboss;40.942;3.279;37.663;91
cel11;/var/log;5.110;2.411;2.699;52
cel11;/var/log/audit;3.062;92;2.970;97
cel11;/var;15.350;1.759;13.591;88
cel11;/tmp;3.062;54;3.008;98
cel11;/boot;1.014;247;767;75
cel12;/tmp;3.062;54;3.008;98
cel12;/boot;1.014;247;767;75
cel12;/;8.182;5.031;3.151;38
cel12;/home;4.086;170;3.916;95
cel12;/home/jboss;40.942;4.110;36.832;89
cel12;/var;15.350;2.556;12.794;83
cel12;/var/log;5.110;3.015;2.095;41
cel12;/opt;4.086;447;3.639;89
cel12;/var/log/audit;3.062;94;2.968;96
cel13;/var;15.350;965;14.385;93
cel13;/home;4.086;170;3.916;95
cel13;/boot;1.014;247;767;75
cel13;/tmp;3.062;54;3.008;98
cel13;/opt;4.086;2.262;1.824;44
cel13;/;8.182;5.056;3.126;38
cel13;/var/log/audit;3.062;94;2.968;96
cel13;/home/jboss;40.942;3.370;37.572;91
cel13;/var/log;5.110;1.498;3.612;70
cel14;/boot;1.014;247;767;75
cel14;/opt;4.086;1.871;2.215;54
cel14;/var;15.350;2.564;12.786;83
cel14;/home;4.086;170;3.916;95
cel14;/tmp;3.062;54;3.008;98
cel14;/;8.182;5.056;3.126;38
cel14;/home/jboss;40.942;11.518;29.424;71
cel14;/var/log;5.110;1.026;4.084;79
cel14;/var/log/audit;3.062;89;2.973;97
celcer01;/home/jboss;40.942;12.547;28.395;69
celcer01;/;8.182;4.907;3.275;40
celcer01;/boot;1.014;345;669;66
celcer01;/var/log;5.110;2.649;2.461;48
celcer01;/tmp;3.062;54;3.008;98
celcer01;/var;17.398;950;16.448;94
celcer01;/opt;4.086;447;3.639;89
celcer01;/var/log/audit;3.062;86;2.976;97
celcer01;/home;4.086;117;3.969;97
celcer02;/boot;1.014;345;669;66
celcer02;/tmp;3.062;54;3.008;98
celcer02;/var;17.398;1.815;15.583;89
celcer02;/var/log;5.110;1.919;3.191;62
celcer02;/opt;4.086;447;3.639;89
celcer02;/home;4.086;65;4.021;98
celcer02;/;8.182;4.932;3.250;39
celcer02;/var/log/audit;3.062;91;2.971;97
celcer02;/home/jboss;40.942;14.405;26.537;64
celcer03;/home;4.086;66;4.020;98
celcer03;/;8.182;5.166;3.016;36
celcer03;/tmp;3.062;54;3.008;98
celcer03;/var/log;5.110;1.801;3.309;64
celcer03;/opt;4.086;447;3.639;89
celcer03;/boot;1.014;345;669;66
celcer03;/home/jboss;40.942;17.846;23.096;56
celcer03;/var;17.398;1.817;15.581;89
celcer03;/var/log/audit;3.062;90;2.972;97
celint01;/;8.182;4.845;3.337;40
celint01;/tmp;3.062;54;3.008;98
celint01;/boot;1.014;345;669;66
celint01;/home/jboss;40.942;4.465;36.477;89
celint01;/opt;4.086;1.696;2.390;58
celint01;/var;13.302;1.876;11.426;85
celint01;/var/log;5.110;2.672;2.438;47
celint01;/home;4.086;487;3.599;88
celint01;/var/log/audit;3.062;86;2.976;97
integrainter01;/home/jboss;40.942;9.323;31.619;77
integrainter01;/var;18.422;2.699;15.723;85
integrainter01;/tmp;3.062;64;2.998;97
integrainter01;/home;4.086;673;3.413;83
integrainter01;/var/log;5.110;1.806;3.304;64
integrainter01;/opt;4.086;447;3.639;89
integrainter01;/boot;1.014;342;672;66
integrainter01;/var/log/audit;3.062;92;2.970;96
integrainter01;/;8.182;4.565;3.617;44
integrainter02;/;8.182;4.565;3.617;44
integrainter02;/boot;1.014;344;670;66
integrainter02;/var;18.422;1.824;16.598;90
integrainter02;/home/jboss;40.942;9.434;31.508;76
integrainter02;/tmp;3.062;64;2.998;97
integrainter02;/home;4.086;70;4.016;98
integrainter02;/var/log/audit;3.062;92;2.970;97
integrainter02;/opt;4.086;447;3.639;89
integrainter02;/var/log;5.110;1.842;3.268;63
integrainter03;/boot;1.014;345;669;66
integrainter03;/var;18.422;1.853;16.569;89
integrainter03;/tmp;3.062;69;2.993;97
integrainter03;/home/jboss;40.942;8.312;32.630;79
integrainter03;/opt;4.086;1.947;2.139;52
integrainter03;/var/log/audit;3.062;89;2.973;97
integrainter03;/;8.182;4.778;3.404;41
integrainter03;/home;4.086;283;3.803;93
integrainter03;/var/log;5.110;2.745;2.365;46
integrainter04;/var/log;5.110;1.857;3.253;63
integrainter04;/boot;1.014;345;669;66
integrainter04;/;8.182;4.777;3.405;41
integrainter04;/tmp;3.062;69;2.993;97
integrainter04;/opt;4.086;1.960;2.126;52
integrainter04;/home/jboss;40.942;9.604;31.338;76
integrainter04;/var;18.422;1.846;16.576;89
integrainter04;/var/log/audit;3.062;90;2.972;97
integrainter04;/home;4.086;254;3.832;93
integrainter05;/home;4.086;2.615;1.471;36
integrainter05;/home/jboss;40.942;11.287;29.655;72
integrainter05;/boot;1.014;348;666;65
integrainter05;/tmp;3.062;64;2.998;97
integrainter05;/var;22.518;4.955;17.563;77
integrainter05;/;8.182;4.777;3.405;41
integrainter05;/var/log;5.110;1.905;3.205;62
integrainter05;/var/log/audit;3.062;94;2.968;96
integrainter05;/opt;4.086;2.360;1.726;42
integrainter06;/var/log;5.110;1.746;3.364;65
integrainter06;/home/jboss;40.942;9.573;31.369;76
integrainter06;/home;4.086;242;3.844;94
integrainter06;/var/log/audit;3.062;90;2.972;97
integrainter06;/;8.182;4.778;3.404;41
integrainter06;/opt;4.086;1.955;2.131;52
integrainter06;/var;28.662;1.536;27.126;94
integrainter06;/boot;1.014;331;683;67
integrainter06;/tmp;3.062;76;2.986;97
integrainter07;/var/log/audit;3.062;93;2.969;96
integrainter07;/;8.182;4.778;3.404;41
integrainter07;/home;4.086;772;3.314;81
integrainter07;/var/log;5.110;1.868;3.242;63
integrainter07;/tmp;3.062;61;3.001;98
integrainter07;/opt;4.086;1.954;2.132;52
integrainter07;/home/jboss;40.942;13.332;27.610;67
integrainter07;/var;28.662;1.919;26.743;93
